13559,10,10
13570,10,10
13580,10,10
13591,11,10
13601,10,10
13611,11,10
13621,11,10
13632,01,10
13642,01,10
13652,01,10
13662,11,10
13672,11,10
13683,11,11
13693,11,10
13703,11,10
13714,11,10
13724,11,10
13735,11,10
13746,11,10
13756,11,10
13767,11,00
13777,11,01
13787,11,01
13798,10,01
13808,10,01
13818,11,01
13829,11,01
13839,11,01
13850,11,01
13860,11,01
13871,11,01
13881,11,01
13892,11,01
13902,11,01
13913,11,01
13923,11,01
13934,11,01
13944,11,11
13955,10,11
13965,10,11
13976,10,11
13986,10,11
13997,10,11
14007,10,11
14018,10,11
14028,10,11
14038,10,11
14048,01,11
14059,01,11
14069,01,11
14079,01,11
14090,01,11
14100,00,10
14111,00,10
14122,01,10
14132,01,10
14142,01,10
14153,01,10
14163,01,10
14174,11,00
14184,11,00
14194,00,00
14205,01,00
14215,11,10
14225,11,10
14236,11,00
14246,11,10
14257,11,10
14267,11,00
14277,11,00
14288,11,00
14299,11,00
14309,11,00
14320,11,00
14330,10,00
14340,10,00
14351,10,00
14361,10,00
14371,11,00
14381,10,00
14392,10,00
14403,10,00
14413,10,00
14423,10,00
14433,10,00
14444,00,00
14454,00,00
14464,00,00
14475,00,00
14485,00,00
14495,00,00
14505,00,00
14515,00,00
14526,00,00
14536,00,00
14546,00,00
14556,00,00
14567,00,00
14578,00,00
14588,00,00
14598,00,00
14608,00,00
14619,00,00
14629,00,00
14639,00,00
14650,00,00
14660,00,00
14671,00,00
14681,00,00
14691,00,00
14702,00,00
14712,00,00
14722,00,00
14733,00,00
14743,00,00
14753,00,00
14764,00,00
14774,00,00
14784,00,00
14794,00,01
14805,00,01
14816,00,01
14826,00,01
14837,00,01
14847,00,01
14857,00,01
14868,00,01
14878,00,01
14888,00,01
14898,00,11
14909,00,11
14920,00,11
14930,00,11
14941,00,11
14951,00,11
14962,00,11
14972,00,11
14983,00,11
14993,00,11
15004,00,11
15014,00,11
15024,00,10
15034,01,10
15045,01,10
15056,01,10
15066,01,10
15077,01,00
15087,01,00
15097,01,00
15108,01,00
15119,01,00
15129,01,00
15140,11,00
15150,11,00
15161,10,00
